# t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,0.000000,0.000000,0.000000,-0.000000,0.013333,0.000000,-0.000004,-0.000000,0.000000
0.020000,-0.000000,0.000267,0.000000,-0.000000,0.026667,0.000000,-0.000014,-0.000000,0.000000
0.040000,-0.000000,0.000800,0.000000,-0.000001,0.040000,0.000000,-0.000032,-0.000000,0.000000
0.060000,-0.000000,0.001600,0.000000,-0.000002,0.053333,0.000000,-0.000057,-0.000000,0.000000
0.080000,-0.000000,0.002667,0.000000,-0.000004,0.066667,0.000000,-0.000089,-0.000000,0.000000
0.100000,-0.000000,0.004000,0.000000,-0.000006,0.080000,0.000000,-0.000128,-0.000000,0.000000
0.120000,-0.000000,0.005600,0.000000,-0.000010,0.093333,0.000000,-0.000174,-0.000000,0.000000
0.140000,-0.000001,0.007467,0.000000,-0.000016,0.106667,0.000000,-0.000228,-0.000000,0.000000
0.160000,-0.000001,0.009600,0.000000,-0.000023,0.120000,0.000000,-0.000288,-0.000000,0.000000
0.180000,-0.000001,0.012000,0.000000,-0.000032,0.133333,0.000000,-0.000356,-0.000000,0.000000
0.200000,-0.000002,0.014667,0.000000,-0.000043,0.146667,0.000000,-0.000430,-0.000000,0.000000
0.220000,-0.000003,0.017600,0.000000,-0.000056,0.160000,0.000000,-0.000512,-0.000000,0.000000
0.240000,-0.000004,0.020800,0.000000,-0.000072,0.173333,0.000000,-0.000601,-0.000000,0.000000
0.260000,-0.000006,0.024267,0.000000,-0.000091,0.186667,0.000000,-0.000697,-0.000000,0.000000
0.280000,-0.000008,0.028000,0.000000,-0.000112,0.200000,0.000000,-0.000800,-0.000000,0.000000
0.300000,-0.000010,0.032000,0.000000,-0.000137,0.213333,0.000000,-0.000910,-0.000001,0.000000
0.320000,-0.000013,0.036267,0.000000,-0.000164,0.226667,0.000000,-0.001028,-0.000001,0.000000
0.340000,-0.000017,0.040800,0.000000,-0.000196,0.240000,0.000000,-0.001152,-0.000001,0.000000
0.360000,-0.000021,0.045600,0.000000,-0.000231,0.253333,0.000000,-0.001284,-0.000001,0.000000
0.380000,-0.000026,0.050667,0.000000,-0.000270,0.266667,0.000000,-0.001422,-0.000001,0.000000
0.400000,-0.000031,0.056000,0.000000,-0.000314,0.280000,0.000000,-0.001568,-0.000002,0.000000
0.420000,-0.000038,0.061600,0.000000,-0.000361,0.293333,0.000000,-0.001721,-0.000002,0.000000
0.440000,-0.000046,0.067467,0.000000,-0.000414,0.306666,0.000000,-0.001881,-0.000003,0.000000
0.460000,-0.000054,0.073600,0.000000,-0.000471,0.320000,0.000000,-0.002048,-0.000003,0.000000
0.480000,-0.000064,0.080000,0.000000,-0.000533,0.333333,0.000000,-0.002222,-0.000004,0.000000
0.500000,-0.000075,0.086667,0.000000,-0.000601,0.346666,0.000000,-0.002404,-0.000004,0.000000
0.520000,-0.000088,0.093600,0.000000,-0.000674,0.359999,0.000000,-0.002592,-0.000005,0.000000
0.540000,-0.000102,0.100800,0.000000,-0.000753,0.373333,0.000000,-0.002788,-0.000006,0.000000
0.560000,-0.000117,0.108267,0.000000,-0.000837,0.386666,0.000000,-0.002990,-0.000006,0.000000
0.580000,-0.000135,0.116000,0.000000,-0.000928,0.399999,0.000000,-0.003200,-0.000007,0.000000
0.600000,-0.000154,0.124000,0.000000,-0.001025,0.413332,0.000000,-0.003417,-0.000008,0.000000
0.620000,-0.000175,0.132267,0.000000,-0.001129,0.426665,0.000000,-0.003641,-0.000010,0.000000
0.640000,-0.000198,0.140800,0.000000,-0.001239,0.439998,0.000000,-0.003872,-0.000011,0.000000
0.660000,-0.000224,0.149600,0.000000,-0.001356,0.453331,0.000000,-0.004110,-0.000012,0.000000
0.680000,-0.000252,0.158666,0.000000,-0.001481,0.466664,0.000000,-0.004356,-0.000014,0.000000
0.700000,-0.000282,0.168000,0.000000,-0.001613,0.479997,0.000000,-0.004608,-0.000015,0.000000
0.720000,-0.000315,0.177600,0.000000,-0.001752,0.493330,0.000000,-0.004868,-0.000017,0.000000
0.740000,-0.000351,0.187466,0.000000,-0.001900,0.506663,0.000000,-0.005134,-0.000019,0.000000
0.760000,-0.000390,0.197599,0.000000,-0.002055,0.519996,0.000000,-0.005408,-0.000021,0.000000
